participant_id	bss_1	bss_2	bss_3	bss_4	bss_5	bss_6	bss_7	bss_8	bss_score_mean	bss_score_experience	bss_score_boredom	bss_score_thrill	bss_score_disinhibition
sub-102041	4.0	2.0	4.0	3.0	4.0	4.0	4.0	4.0	3.625	4.0	3.0	4.0	3.5
sub-103679	4.0	3.0	1.0	2.0	4.0	2.0	3.0	4.0	2.875	4.0	2.5	2.0	3.0
sub-104059	5.0	3.0	3.0	4.0	5.0	4.0	3.0	5.0	4.0	5.0	3.5	3.0	4.5
sub-104235	2.0	2.0	4.0	2.0	4.0	3.0	4.0	5.0	3.25	3.0	2.5	4.0	3.5
sub-104785	5.0	4.0	3.0	4.0	5.0	2.0	5.0	5.0	4.125	5.0	3.0	4.0	4.5
sub-105168	5.0	5.0	5.0	1.0	5.0	3.0	4.0	4.0	4.0	5.0	4.0	4.5	2.5
sub-105176	3.0	5.0	5.0	1.0	5.0	3.0	3.0	1.0	3.25	4.0	4.0	4.0	1.0
sub-105309	5.0	3.0	3.0	3.0	5.0	1.0	3.0	1.0	3.0	5.0	2.0	3.0	2.0
sub-105767	4.0	4.0	2.0	2.0	5.0	5.0	5.0	3.0	3.75	4.5	4.5	3.5	2.5
sub-105860	5.0	3.0	5.0	5.0	2.0	4.0	3.0	5.0	4.0	3.5	3.5	4.0	5.0
sub-105979	5.0	4.0	3.0	4.0	4.0	2.0	4.0	4.0	3.75	4.5	3.0	3.5	4.0
sub-106039	5.0	4.0	5.0	4.0	5.0	5.0	3.0	1.0	4.0	5.0	4.5	4.0	2.5
sub-106071	5.0	4.0	1.0	3.0	2.0	3.0	2.0	5.0	3.125	3.5	3.5	1.5	4.0
sub-106246	3.0	4.0	2.0	2.0	3.0	2.0	4.0	1.0	2.625	3.0	3.0	3.0	1.5
sub-106331	5.0	4.0	5.0	5.0	5.0	4.0	3.0	4.0	4.375	5.0	4.0	4.0	4.5
sub-106802	5.0	4.0	4.0	5.0	5.0	5.0	3.0	3.0	4.25	5.0	4.5	3.5	4.0
sub-106880	2.0	5.0	3.0	3.0	1.0	1.0	1.0	1.0	2.125	1.5	3.0	2.0	2.0
sub-107055	5.0	4.0	5.0	3.0	5.0	3.0	3.0	5.0	4.125	5.0	3.5	4.0	4.0
sub-108202	3.0	4.0	2.0	2.0	2.0	4.0	1.0	1.0	2.375	2.5	4.0	1.5	1.5
sub-109521	2.0	4.0	4.0	1.0	2.0	4.0	3.0	4.0	3.0	2.0	4.0	3.5	2.5
sub-109646	5.0	3.0	3.0	3.0	4.0	4.0	2.0	4.0	3.5	4.5	3.5	2.5	3.5
sub-109735	5.0	4.0	2.0	4.0	5.0	3.0	3.0	4.0	3.75	5.0	3.5	2.5	4.0
sub-110168	4.0	2.0	3.0	2.0	4.0	4.0	4.0	1.0	3.0	4.0	3.0	3.5	1.5
sub-110354	5.0	3.0	2.0	5.0	4.0	3.0	2.0	4.0	3.5	4.5	3.0	2.0	4.5
sub-110828	4.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0	2.75	3.0	3.0	2.5	2.5
sub-112028	4.0	4.0	1.0	1.0	1.0	3.0	3.0	4.0	2.625	2.5	3.5	2.0	2.5
sub-112061	5.0	3.0	5.0	3.0	5.0	5.0	5.0	5.0	4.5	5.0	4.0	5.0	4.0
sub-112126	4.0	5.0	2.0	3.0	3.0	2.0	5.0	5.0	3.625	3.5	3.5	3.5	4.0
sub-112249	4.0	5.0	1.0	4.0	3.0	4.0	3.0	4.0	3.5	3.5	4.5	2.0	4.0
sub-112332	4.0	5.0	2.0	2.0	4.0	2.0	4.0	3.0	3.25	4.0	3.5	3.0	2.5
sub-112694	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.125	3.0	3.0	3.0	3.5
sub-113111	3.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	1.875	2.0	2.5	2.0	1.0
sub-114709	5.0	5.0	5.0	4.0	4.0	3.0	4.0	4.0	4.25	4.5	4.0	4.5	4.0
sub-114713	4.0	4.0	3.0	3.0	4.0	2.0	3.0	4.0	3.375	4.0	3.0	3.0	3.5
sub-114723	5.0	5.0	5.0	3.0	5.0	5.0	4.0	1.0	4.125	5.0	5.0	4.5	2.0
sub-114935	3.0	2.0	3.0	3.0	1.0	2.0	2.0	1.0	2.125	2.0	2.0	2.5	2.0
sub-114990	5.0	4.0	5.0	3.0	5.0	5.0	5.0	5.0	4.625	5.0	4.5	5.0	4.0
sub-115800	5.0	3.0	2.0	4.0	5.0	4.0	4.0	3.0	3.75	5.0	3.5	3.0	3.5
sub-116019	5.0	2.0	5.0	4.0	5.0	3.0	4.0	5.0	4.125	5.0	2.5	4.5	4.5
sub-116051	2.0	2.0	1.0	2.0	4.0	2.0	3.0	3.0	2.375	3.0	2.0	2.0	2.5
sub-116210	4.0	3.0	4.0	3.0	2.0	5.0	4.0	5.0	3.75	3.0	4.0	4.0	4.0
sub-116354	4.0	1.0	3.0	4.0	2.0	4.0	3.0	3.0	3.0	3.0	2.5	3.0	3.5
sub-116360	5.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0	3.125	4.5	2.0	2.5	3.5
sub-117226	4.0	1.0	3.0	5.0	5.0	5.0	3.0	4.0	3.75	4.5	3.0	3.0	4.5
sub-117397	1.0	2.0	3.0	1.0	1.0	3.0	2.0	1.0	1.75	1.0	2.5	2.5	1.0
sub-118393	4.0	4.0	2.0	2.0	2.0	1.0	3.0	4.0	2.75	3.0	2.5	2.5	3.0
sub-118864	4.0	5.0	4.0	3.0	5.0	4.0	3.0	4.0	4.0	4.5	4.5	3.5	3.5
sub-118990	5.0	3.0	3.0	4.0	2.0	4.0	4.0	5.0	3.75	3.5	3.5	3.5	4.5
sub-119302	4.0	4.0	1.0	1.0	5.0	2.0	2.0	5.0	3.0	4.5	3.0	1.5	3.0
sub-119791	4.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.5	4.0	3.5	3.0	3.5
sub-120217	4.0	4.0	1.0	1.0	4.0	2.0	3.0	4.0	2.875	4.0	3.0	2.0	2.5
sub-120562	1.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	3.0	5.0	5.0
sub-121001	2.0	4.0	3.0	2.0	4.0	2.0	2.0	2.0	2.625	3.0	3.0	2.5	2.0
sub-121050	3.0	2.0	2.0	3.0	1.0	2.0	3.0	5.0	2.625	2.0	2.0	2.5	4.0
sub-121085	5.0	5.0	4.0	3.0	4.0	2.0	3.0	1.0	3.375	4.5	3.5	3.5	2.0
sub-121407	4.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	2.375	3.0	2.5	1.5	2.5
sub-121476	4.0	4.0	3.0	2.0	3.0	1.0	3.0	3.0	2.875	3.5	2.5	3.0	2.5
sub-121670	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.875	4.0	4.0	4.0	3.5
sub-122522	4.0	5.0	3.0	2.0	4.0	3.0	5.0	5.0	3.875	4.0	4.0	4.0	3.5
sub-122528	5.0	4.0	3.0	1.0	5.0	2.0	4.0	1.0	3.125	5.0	3.0	3.5	1.0
sub-122801	4.0	5.0	4.0	3.0	5.0	4.0	4.0	3.0	4.0	4.5	4.5	4.0	3.0
sub-122916	5.0	5.0	4.0	4.0	5.0	5.0	3.0	5.0	4.5	5.0	5.0	3.5	4.5
sub-125511	4.0	5.0	1.0	1.0	5.0	1.0	1.0	4.0	2.75	4.5	3.0	1.0	2.5
